region,lat,lng
"Paso Robles, Central Coast, California, US",nan,nan
"Vista Flores, Mendoza Province, Argentina",nan,nan
"Douro, Portugal",41.17004195,-7.304749811735755
"Toscana, Tuscany, Italy",43.7215969,10.3969338
"Campania, Southern Italy, Italy",nan,nan
"Livermore Valley, Central Coast, California, US",nan,nan
"Napa Valley, Napa, California, US",38.5764234,-122.570995
"Crémant de Bordeaux, Bordeaux, France",nan,nan
"Burgenland, Austria",47.5000001,16.4166666
"Martinborough, New Zealand",-41.2183252,175.4594856
"Russian River Valley, Sonoma, California, US",nan,nan
"Mendoza, Mendoza Province, Argentina",-37.3895633,-68.9187537
"Saint-Émilion, Bordeaux, France",44.8448069,-0.7952435
"Dão, Portugal",39.9375585,-7.8638768
"Salento, Southern Italy, Italy",nan,nan
"Jidvei, Romania",46.2224475,24.1106119
"Lisboa, Portugal",38.7077507,-9.1365919
"Arroyo Grande Valley, Central Coast, California, US",nan,nan
"Volnay, Burgundy, France",nan,nan
"Stellenbosch, South Africa",-33.934444,18.869167
"Pessac-Léognan, Bordeaux, France",nan,nan
"Santa Lucia Highlands, Central Coast, California, US",nan,nan
"Swartland, South Africa",-33.29356,18.599382501779992
"South Eastern Australia, Australia Other, Australia",nan,nan
"Sicilia, Sicily & Sardinia, Italy",nan,nan
"Barsac, Bordeaux, France",44.8176672,-0.5701552
"Sta. Rita Hills, Central Coast, California, US",nan,nan
"Alexander Valley, Sonoma, California, US",38.6712308,-122.8278697
"Walla Walla Valley (WA), Columbia Valley, Washington, US",nan,nan
"Chalk Hill, Sonoma, California, US",38.6037982,-122.7772125
"North Coast, North Coast, California, US",nan,nan
"Mendocino County, Mendocino County, California, US",39.3076744,-123.7994591
"Priorat, Catalonia, Spain",41.2137983,0.811623628426715
"Alsace, Alsace, France",50.6998614,3.1610799
"Nemea, Greece",37.8209952,22.6613055
"Barbaresco, Piedmont, Italy",nan,nan
"Madiran, Southwest France, France",nan,nan
"Port, Portugal",19.9937037,-72.6408359
"Stags Leap District, Napa, California, US",nan,nan
"Soave, Veneto, Italy",45.4202303,11.247722
"Barolo, Piedmont, Italy",nan,nan
"Anderson Valley, Mendocino County, California, US",39.0600021,-123.4305338
"Columbia Valley (WA), Columbia Valley, Washington, US",47.559746849999996,-122.29271151155538
"Cava, Catalonia, Spain",42.31658175,1.6111496867672197
"Texas, Texas, US",31.3459637,-93.85087566372492
